Page URL,Page Title,ILR,Raw ILR,Unique Pageviews,Crawl Depth,HTTP Status Code,"Page (HTML) Load Time, sec",Schema.org (Microdata),Schema.org (JSON-LD),Open Graph,Twitter Cards,Microformats,Canonicalization,In sitemap,Incoming Internal Links,Outgoing Internal Links,Outgoing External Links,AMP link,Hreflang Links,Hreflang Issues,JS and CSS Number,"JS and CSS Size, KB",Issues,Description,Blocked AI search bots
https://www.healingtherapycenter.com/autism-screening-tool,Free Autism Screening Tool | M-CHAT-R Assessment,91,0.027210183640290972,n/a,1,200,0.075,1,0,1,0,0,Self-canonical,1,35,23,7,0,-,-,19,39,16,free online autism screening tool (m-chat-r) for children 16-30 months. quick assessment to determine if autism evaluation is needed. call (313) 654-1915,
https://www.healingtherapycenter.com/autism-signs,Early Signs of Autism in Children | Healing Therapy Center,26,0.014166197348710444,n/a,2,200,0.068,0,0,1,0,0,Self-canonical,1,4,24,7,0,-,-,19,39,17,"recognize early signs of autism in children. learn about autism symptoms in toddlers, developmental milestones, and when to seek evaluation. expert guidance.",
https://www.healingtherapycenter.com/breaking-stigma,Breaking Mental Health Stigma | Healing Therapy Blog,39,0.01423869173157534,n/a,2,200,0.189,0,0,1,0,0,Self-canonical,1,5,23,4,0,-,-,19,39,17,"breaking down mental health stigma. learn why seeking therapy is a sign of strength, not weakness. tips for talking about mental health openly.",
https://www.healingtherapycenter.com/coping-with-postpartum-depression,Coping With Postpartum Depression | Expert Tips,39,0.01423869173157534,n/a,2,200,0.187,0,0,1,0,0,Self-canonical,1,5,23,4,0,-,-,19,39,17,"learn how to cope with postpartum depression. symptoms, treatment options, and when to seek help. expert guidance from licensed therapists.",
https://www.healingtherapycenter.com/couples-therapy,"Couples Therapy & Marriage Counseling | Dearborn, MI",74,0.02712057121406837,n/a,1,200,0.066,0,0,1,0,0,Self-canonical,1,35,21,4,0,-,-,19,39,16,"couples therapy & marriage counseling in michigan - dearborn, detroit, ann arbor. help with attachment styles, relationship anxiety, codependency, communication. lgbtq affirming. (313) 654-1915",
https://www.healingtherapycenter.com/depression-counseling-michigan,Depression Counseling in Michigan | Dearborn & Telehealth,35,0.014209683727905462,n/a,1,200,0.191,0,0,1,0,0,Self-canonical,1,3,21,4,0,-,-,19,39,16,"depression treatment in michigan - detroit, dearborn, ann arbor. therapy for major depression, persistent depression, postpartum. cbt & evidence-based care. (313) 654-1915",
https://www.healingtherapycenter.com/donna-majed,"Donna Majed, TLLP | Therapist | Healing Therapy Center",65,0.027074053479445703,n/a,1,200,0.177,0,0,1,0,0,Self-canonical,1,35,19,4,0,-,-,19,39,15,"donna majed, tllp - therapist in dearborn, mi. specializing in women's mental health, anxiety, ocd, depression, postpartum, and trauma.",
https://www.healingtherapycenter.com/dr-nadia-habhab,"Dr. Nadia Habhab, PhD, LP | Psychologist in Dearborn",70,0.027098261310126354,n/a,1,200,0.067,0,0,1,0,0,Self-canonical,1,35,20,4,0,-,-,19,39,15,"dr. nadia habhab, phd, lp - licensed psychologist at healing therapy center in dearborn, mi. psychological testing, therapy for adults and children.",
https://www.healingtherapycenter.com/dr-tiffany-murray,"Tiffany Murray, LMSW | Therapist | Healing Therapy Center",65,0.027074053479445703,n/a,1,200,0.074,0,0,1,0,0,Self-canonical,1,35,19,4,0,-,-,19,39,15,"tiffany murray, lmsw - licensed therapist at healing therapy center in dearborn, mi. individual therapy, couples counseling, anxiety and depression treatment.",
https://www.healingtherapycenter.com/family-therapy,"Family Therapy in Dearborn, MI | Insurance Accepted",65,0.027074053479445703,n/a,1,200,0.07,0,0,1,0,0,Self-canonical,1,35,19,4,0,-,-,19,39,16,"family therapy in dearborn, mi. improve communication, resolve conflicts, strengthen bonds. bcbs, aetna, priority health accepted. (313) 654-1915",
https://www.healingtherapycenter.com/faq,Frequently Asked Questions | Healing Therapy Center Dearborn,74,0.02712057121406837,n/a,1,200,0.076,0,1,1,0,0,Self-canonical,1,35,21,4,0,-,-,19,39,15,"get answers to common questions about therapy services, scheduling, insurance, and what to expect at healing therapy center in dearborn, michigan.",
https://www.healingtherapycenter.com/federal-employee-stress-management-therapy,Managing Stress as a Federal Employee: When to Seek Therapy in Michigan,9,0.013677399782447582,n/a,2,200,0.069,0,0,1,0,0,Self-canonical,1,3,25,4,0,-,-,19,39,17,"stress management strategies for federal employees in michigan. learn when work stress becomes a problem and how therapy can help usps, cbp, fbi, va employees. fep blue coverage explained.",
https://www.healingtherapycenter.com/fep-blue-federal-employee-therapy,FEP Blue Therapist Michigan | Federal Employee Mental Health Services,61,0.016317266436140888,n/a,1,200,0.073,0,1,1,0,0,Self-canonical,1,10,20,4,0,-,-,19,39,16,"fep blue therapist accepting blue cross blue shield federal employee program insurance in michigan. therapy for usps, cbp, fbi & federal employees. dearborn, detroit. (313) 654-1915",
https://www.healingtherapycenter.com/fep-blue-mental-health-benefits-guide,FEP Blue Mental Health Benefits Guide for Federal Employees in Michigan | 2026,17,0.01391337211106246,n/a,2,200,0.183,0,0,1,0,0,Self-canonical,1,4,25,4,0,-,-,19,39,17,"complete guide to fep blue mental health coverage for federal employees in michigan. learn about co-pays, covered services, finding therapists, and maximizing your benefits. usps, cbp, fbi, va employees.",
https://www.healingtherapycenter.com/group-therapy,"Group Therapy in Dearborn, MI | Healing Therapy Center",65,0.027074053479445703,n/a,1,200,0.072,0,0,1,0,0,Self-canonical,1,35,19,4,0,-,-,19,39,15,"supportive group therapy in dearborn, michigan. connect with others facing similar challenges. led by licensed therapists. anxiety, depression, grief groups.",
https://www.healingtherapycenter.com/how-to-find-the-right-therapist,,-,0.014502583126242825,n/a,2,500,0.063,0,0,0,0,0,-,1,6,0,0,0,-,-,0,0,1,-,
https://www.healingtherapycenter.com/individual-therapy,"Individual Therapy in Dearborn, MI | Insurance Accepted",83,0.02717811051720473,n/a,1,200,0.194,0,0,1,0,0,Self-canonical,1,35,24,4,0,-,-,19,39,19,"individual therapy in michigan - dearborn, detroit, ann arbor for anxiety, depression, trauma, ptsd & grief. emdr, cbt, trauma informed care. lgbtq affirming. insurance accepted. (313) 654-1915",
https://www.healingtherapycenter.com/insurance,"Insurance & Payment Options | Healing Therapy Center Dearborn, MI",57,0.015074845829443247,n/a,1,200,0.065,0,0,1,0,0,Self-canonical,1,5,21,4,0,-,-,19,39,16,"healing therapy center accepts blue cross blue shield (fep blue), priority health, aetna, united healthcare, hap, mclaren, michigan medicaid. verify your mental health coverage. (313) 654-1915",
https://www.healingtherapycenter.com/is-autism-curable,,-,0.015031098209303666,n/a,1,500,0.069,0,0,0,0,0,-,1,7,0,0,0,-,-,0,0,1,-,
https://www.healingtherapycenter.com/llms.txt,,-,-,n/a,0,404,0.062,0,0,0,0,0,-,0,0,-,-,0,-,-,-,-,1,-,
https://www.healingtherapycenter.com/malak-wehbe,"Malak Wehbe, MA, TLLP | Therapist | Healing Therapy Center",65,0.027074053479445703,n/a,1,200,0.182,0,0,1,0,0,Self-canonical,1,35,19,4,0,-,-,19,39,15,"malak wehbe, ma, tllp - therapist at healing therapy center in dearborn, mi. specialized in child therapy, trauma, anxiety, and culturally sensitive care.",
https://www.healingtherapycenter.com/parenting-child,Parenting a Child with Autism | Tips & Support,52,0.015022956836805223,n/a,1,200,0.065,0,0,1,0,0,Self-canonical,1,7,24,4,0,-,-,19,39,16,"expert tips for parenting a child with autism. strategies for communication, behavior management, and family support from licensed therapists.",
https://www.healingtherapycenter.com/perinatal-therapy,Perinatal Therapy & Postpartum Treatment | Michigan,65,0.027074053479445703,n/a,1,200,0.068,0,0,1,0,0,Self-canonical,1,35,19,4,0,-,-,19,39,15,"specialized perinatal therapy in michigan. treatment for postpartum depression, anxiety, birth trauma, pregnancy loss. compassionate support for new mothers.",
https://www.healingtherapycenter.com/person-first-approach,Person-First Approach to Therapy | Dr. Nadia Habhab,13,0.01378246915852509,n/a,2,200,0.07,0,0,1,0,0,Self-canonical,0,2,23,4,0,-,-,19,39,16,"dr. nadia habhab explains why treating the person, not the diagnosis, is essential in emotion focused therapy. understanding symptoms and emotions through a person-centered approach.",
https://www.healingtherapycenter.com/psychological-testing,Psychological Testing in Michigan | Autism & ADHD,78,0.02716032514215647,n/a,1,200,0.066,0,0,1,0,0,Self-canonical,1,35,23,4,0,-,-,19,39,18,"psychological testing in dearborn, mi. autism, adhd, learning disability evaluations for children & adults. bcbs, aetna accepted. (313) 654-1915",
https://www.healingtherapycenter.com/ptsd-therapy-federal-law-enforcement,PTSD Treatment for Federal Law Enforcement & First Responders | Michigan,4,0.013213341550036254,n/a,2,200,0.183,0,0,1,0,0,Self-canonical,1,1,25,4,0,-,-,19,39,16,"ptsd therapy for cbp officers, fbi agents, and federal first responders in michigan. emdr, trauma-focused treatment. fep blue coverage. confidential care for law enforcement.",
https://www.healingtherapycenter.com/robots.txt,,-,-,n/a,0,200,0.233,0,0,0,0,0,-,0,0,-,-,0,-,-,-,-,0,-,n/a
https://www.healingtherapycenter.com/shift-work-federal-employee-therapy,Work-Life Balance for Shift Workers: Therapy for Federal Employees | Michigan,4,0.013213341550036254,n/a,2,200,0.072,0,0,1,0,0,Self-canonical,1,1,24,4,0,-,-,19,39,18,"mental health support for federal shift workers in michigan. usps, cbp, law enforcement. fep blue coverage. flexible scheduling, telehealth. improve sleep, relationships, work-life balance.",
https://www.healingtherapycenter.com/sitemap.xml,,-,-,n/a,0,200,0.064,0,0,0,0,0,-,0,0,-,-,0,-,-,-,-,25,-,
https://www.healingtherapycenter.com/suicide-hotline,Crisis Resources & Suicide Hotline | Healing Therapy Center,87,0.027194690508290084,n/a,1,200,0.065,0,0,1,0,0,Self-canonical,1,35,19,10,0,-,-,19,39,15,24/7 crisis resources and suicide prevention hotlines. immediate help available. national suicide prevention lifeline: 988. you are not alone.,
https://www.healingtherapycenter.com/telehealth-therapy,Telehealth Therapy in Michigan | Online Counseling,65,0.027074053479445703,n/a,1,200,0.074,0,0,1,0,0,Self-canonical,1,35,19,4,0,-,-,19,39,15,"secure telehealth therapy throughout michigan. licensed therapists for anxiety, depression, trauma, couples counseling via video. same quality care from home.",
https://www.healingtherapycenter.com/therapists,"Licensed Therapists in Dearborn, MI | BCBS, Aetna Accepted",65,0.027074053479445703,n/a,1,200,0.073,0,0,1,0,0,Self-canonical,1,35,19,4,0,-,-,19,39,20,"meet our licensed therapists in dearborn, mi. experts in anxiety, depression, trauma, adhd & couples therapy. bcbs, aetna accepted. (313) 654-1915",
https://www.healingtherapycenter.com/trauma-ptsd-treatment,Trauma & PTSD Treatment in Michigan | Healing Therapy Center,43,0.01446585365404835,n/a,1,200,0.075,0,1,1,0,0,Self-canonical,1,5,22,4,0,-,-,19,39,15,"specialized trauma and ptsd therapy in michigan. emdr, trauma-focused cbt, somatic therapy. expert treatment for childhood trauma, ptsd, complex trauma.",
https://www.healingtherapycenter.com/understanding-depression,Understanding Depression | Healing Therapy Center Blog,39,0.01423869173157534,n/a,2,200,0.188,0,0,1,0,0,Self-canonical,1,5,23,4,0,-,-,19,39,16,mental health insights and advice from healing therapy center therapists. evidence-based tips for wellness and recovery.,
